"","athlete_id","date","game_exposure","training_exposure","squat_depth_left","squat_depth_right","high_intensity_distance","collisions","distance","game_injury","training_injury","muscle_soreness"
"120",16780,2017-02-07,FALSE,TRUE,NA,NA,161,49,NA,FALSE,FALSE,6
"121",16780,2017-02-08,FALSE,TRUE,NA,NA,207,37,NA,FALSE,FALSE,3
"122",16780,2017-02-09,FALSE,TRUE,NA,NA,204,34,NA,FALSE,FALSE,6
"123",16780,2017-02-10,FALSE,TRUE,NA,NA,171,21,NA,FALSE,FALSE,4
"124",16780,2017-02-11,FALSE,TRUE,NA,NA,182,24,NA,FALSE,TRUE,4
"125",16780,2017-02-12,FALSE,TRUE,NA,NA,139,23,NA,FALSE,FALSE,3
"126",16780,2017-02-13,FALSE,TRUE,NA,NA,106,22,NA,FALSE,FALSE,4
"127",16780,2017-02-14,FALSE,TRUE,NA,NA,106,22,NA,FALSE,FALSE,4
"128",16780,2017-02-15,FALSE,TRUE,NA,NA,71,20,NA,FALSE,FALSE,3
"129",16780,2017-02-16,FALSE,TRUE,NA,NA,109,24,NA,FALSE,FALSE,4
"130",16780,2017-02-17,FALSE,TRUE,NA,NA,109,27,NA,FALSE,FALSE,4
"131",16780,2017-02-18,FALSE,TRUE,NA,NA,173,30,NA,FALSE,FALSE,3
"132",16780,2017-02-19,FALSE,TRUE,NA,NA,158,24,NA,FALSE,FALSE,5
"133",16780,2017-02-20,FALSE,TRUE,NA,NA,158,19,NA,FALSE,FALSE,6
"134",16780,2017-02-21,FALSE,TRUE,NA,NA,158,19,NA,FALSE,FALSE,4
"135",16780,2017-02-22,FALSE,TRUE,NA,NA,223,18,NA,FALSE,FALSE,6
"136",16780,2017-02-23,FALSE,TRUE,NA,NA,184,14,NA,FALSE,FALSE,5
"137",16780,2017-02-24,FALSE,TRUE,NA,NA,208,12,NA,FALSE,FALSE,6
"138",16780,2017-02-25,FALSE,TRUE,73,72,133,7,NA,FALSE,FALSE,6
"139",16780,2017-02-26,TRUE,FALSE,73,72,133,7,NA,FALSE,FALSE,5
"140",16780,2017-02-27,FALSE,TRUE,73,72,133,8,NA,FALSE,FALSE,6
"141",16780,2017-02-28,FALSE,TRUE,73,72,133,8,92325,FALSE,FALSE,6
"142",16780,2017-03-01,FALSE,TRUE,58,56,83,7,90330,FALSE,FALSE,5
"143",16780,2017-03-02,FALSE,TRUE,65.5,64,71,9,82589,FALSE,FALSE,6
"144",16780,2017-03-03,FALSE,TRUE,65.5,64,58,12,79541,FALSE,FALSE,6
"145",16780,2017-03-04,FALSE,TRUE,62,58.9,58,11,79541,FALSE,FALSE,5
"146",16780,2017-03-05,TRUE,FALSE,60,57.45,58,11,72568,FALSE,FALSE,6
"147",16780,2017-03-06,FALSE,TRUE,60,57.45,58,10,67724,FALSE,FALSE,6
"148",16780,2017-03-07,FALSE,TRUE,60,57.45,58,10,67724,FALSE,FALSE,5
"149",16780,2017-03-08,FALSE,TRUE,63.7,67.7,24,11,64384,FALSE,FALSE,6
"150",16780,2017-03-09,FALSE,TRUE,62.85,63.3,67,8,62152,FALSE,FALSE,6
"151",16780,2017-03-10,FALSE,TRUE,62.85,63.3,94,5,66687,FALSE,FALSE,5
"152",16780,2017-03-11,FALSE,TRUE,69.9,67.3,94,6,61310,FALSE,FALSE,6
"153",16780,2017-03-12,TRUE,FALSE,66.8,67.5,166,8,64131,FALSE,FALSE,6
"154",16780,2017-03-13,FALSE,TRUE,66.8,67.5,166,8,61853,FALSE,FALSE,5
"155",16780,2017-03-14,FALSE,TRUE,66.8,67.5,166,8,61853,FALSE,FALSE,6
"156",16780,2017-03-15,FALSE,TRUE,63.6,58.6,197,12,66930,FALSE,FALSE,6
"157",16780,2017-03-16,FALSE,TRUE,66.75,62.95,154,10,61074,FALSE,TRUE,5
"158",16780,2017-03-17,FALSE,TRUE,66.75,62.95,130,14,55431,FALSE,FALSE,4
"159",16780,2017-03-18,FALSE,TRUE,63.6,58.6,130,14,50562,FALSE,FALSE,6
"160",16780,2017-03-19,TRUE,FALSE,63.6,58.6,130,14,53939,FALSE,FALSE,6
"161",16780,2017-03-20,FALSE,TRUE,63.6,58.6,130,14,53939,FALSE,FALSE,5
"162",16780,2017-03-21,FALSE,TRUE,63.6,58.6,130,14,53939,FALSE,FALSE,6
"163",16780,2017-03-22,FALSE,TRUE,NA,NA,86,8,48327,FALSE,FALSE,6
"164",16780,2017-03-23,FALSE,TRUE,NA,NA,97,8,43291,FALSE,FALSE,5
"165",16780,2017-03-24,FALSE,TRUE,NA,NA,83,6,39896,FALSE,FALSE,6
"166",16780,2017-03-25,FALSE,TRUE,63.3,61.5,83,6,38725,FALSE,FALSE,6
"167",16780,2017-03-26,TRUE,FALSE,63.3,61.5,83,6,42102,FALSE,FALSE,5
"168",16780,2017-03-27,FALSE,TRUE,63.3,61.5,83,6,41950,FALSE,FALSE,6
"169",16780,2017-03-28,FALSE,TRUE,63.3,61.5,83,6,41950,FALSE,FALSE,6
"170",16780,2017-03-29,FALSE,TRUE,63.3,61.5,114,8,39762,FALSE,FALSE,5
"171",16780,2017-03-30,FALSE,TRUE,63.3,61.5,103,10,39762,FALSE,FALSE,6
"172",16780,2017-03-31,FALSE,TRUE,63.3,61.5,103,12,35493,FALSE,FALSE,6
"173",16780,2017-04-01,FALSE,TRUE,56.5,52.6,103,12,35759,FALSE,FALSE,5
"174",16780,2017-04-02,TRUE,FALSE,56.5,52.6,103,12,39136,FALSE,FALSE,6
"175",16780,2017-04-03,FALSE,TRUE,56.5,52.6,111,12,40772,FALSE,FALSE,6
"176",16780,2017-04-04,FALSE,TRUE,56.5,52.6,111,12,40772,FALSE,FALSE,5
"177",16780,2017-04-05,FALSE,TRUE,56.5,52.6,80,10,37445,FALSE,FALSE,6
